-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               _fwd_kernel_ep_scatter_1         0.00%       0.000us         0.00%       0.000us       0.000us      16.463ms         0.15%      16.463ms       3.867us          4257  
_ZN7cutlass6KernelIN9deep_gemm10GemmKernelIN3aiu4gem...         0.00%       0.000us         0.00%       0.000us       0.000us      16.267ms         0.15%      16.267ms     378.293us            43  
             triton_poi_fused_clamp_mul_sigmoid_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us      14.430ms         0.13%      14.430ms       3.390us          4257  
                               _count_expert_num_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      13.486ms         0.12%      13.486ms       3.168us          4257  
                         softplus_forward_kernel_rank_1         0.00%       0.000us         0.00%       0.000us       0.000us      12.933ms         0.12%      12.933ms       3.038us          4257  
pcclKernel_AllGather_RING_LL_Sum_int8_t(ncclDevComm*...         0.00%       0.000us         0.00%       0.000us       0.000us      12.826ms         0.12%      12.826ms     129.551us            99  
                                     record_param_comms         0.21%      25.534ms         0.24%      28.811ms     291.019us      12.729ms         0.12%      12.729ms     128.579us            99  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us      12.729ms         0.12%      12.729ms     129.891us            98  
_ZN7cutlass6KernelIN9deep_gemm10GemmKernelIN3aiu4gem...         0.00%       0.000us         0.00%       0.000us       0.000us      11.522ms         0.10%      11.522ms     267.962us            43  
_ZN7cutlass6KernelIN9deep_gemm10GemmKernelIN3aiu4gem...         0.00%       0.000us         0.00%       0.000us       0.000us      10.915ms         0.10%      10.915ms     253.842us            43  
                   _dequantize_and_gather_k_kernel_sm80         0.00%       0.000us         0.00%       0.000us       0.000us      10.795ms         0.10%      10.795ms      42.838us           252  
void computeBlockInfoKernel<16u>(unsigned int const*...         0.00%       0.000us         0.00%       0.000us       0.000us      10.404ms         0.09%      10.404ms       2.547us          4085  
                            true_div_func_kernel_rank_2         0.00%       0.000us         0.00%       0.000us       0.000us       9.950ms         0.09%       9.950ms       2.284us          4356  
                                sqrt_func_kernel_rank_1         0.00%       0.000us         0.00%       0.000us       0.000us       9.533ms         0.09%       9.533ms       2.239us          4257  
                                             SiluAndMul         0.22%      26.859ms         0.25%      30.077ms     233.157us       9.500ms         0.09%       9.500ms      73.643us           129  
                                       vllm::fl_mhc_pre         0.01%     772.449us         0.02%       2.218ms     739.317us       9.430ms         0.09%       9.716ms       3.239ms             3  
                                      mul_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.067ms         0.08%       9.067ms       1.065us          8514  
                         full_func_scalar_kernel_rank_1         0.00%       0.000us         0.00%       0.000us       0.000us       8.189ms         0.07%       8.189ms       1.867us          4386  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.031s
Self CUDA time total: 10.996s

